Transaction_ID,Account_ID,Transaction_Date,Transaction_Type,Amount,Description
TXN-00056,ACCT-1004,2023-02-08 13:30:44,Deposit,5000.00,Investment contribution
TXN-00057,ACCT-1005,2023-02-10 08:45:12,Deposit,2800.00,Payroll deposit
TXN-00058,ACCT-1005,2023-02-11 10:00:39,Withdrawal,400.00,ATM withdrawal
TXN-00059,ACCT-1007,2023-02-13 09:15:07,Deposit,3500.00,Payroll deposit
TXN-00060,ACCT-1007,2023-02-14 11:30:34,Payment,125.00,Internet bill payment
TXN-00061,ACCT-1008,2023-02-13 13:45:01,Purchase,199.99,Clothing purchase
TXN-00062,ACCT-1009,2023-02-16 09:00:28,Deposit,2600.00,Payroll deposit
TXN-00063,ACCT-1009,2023-02-17 11:15:56,Payment,180.00,Utility payment
TXN-00064,ACCT-1010,2023-02-16 13:30:23,Deposit,600.00,Savings deposit
TXN-00065,ACCT-1011,2023-02-19 08:45:51,Deposit,3100.00,Payroll deposit
TXN-00066,ACCT-1011,2023-02-20 10:00:18,Purchase,145.50,Restaurant and dining
TXN-00067,ACCT-1033,2023-02-21 09:15:45,Deposit,2550.00,Payroll deposit
TXN-00068,ACCT-1033,2023-02-22 11:30:13,Withdrawal,100.00,ATM withdrawal
TXN-00069,ACCT-1034,2023-02-23 09:45:40,Deposit,3150.00,Payroll deposit
TXN-00070,ACCT-1034,2023-02-24 12:00:07,Payment,160.00,Phone bill payment
TXN-00071,ACCT-1035,2023-02-23 14:15:34,Deposit,700.00,Savings deposit
TXN-00072,ACCT-1013,2023-02-22 10:30:01,Deposit,2900.00,Payroll deposit
TXN-00073,ACCT-1013,2023-02-23 12:45:28,Purchase,88.40,Grocery store purchase
TXN-00074,ACCT-1015,2023-02-22 15:00:55,Deposit,500.00,Savings deposit
TXN-00075,ACCT-1016,2023-02-24 09:15:23,Deposit,2750.00,Payroll deposit
TXN-00076,ACCT-1016,2023-02-25 11:30:50,Payment,175.00,Phone bill payment
TXN-00077,ACCT-1018,2023-02-27 08:45:17,Deposit,3300.00,Payroll deposit
TXN-00078,ACCT-1018,2023-02-28 10:00:44,Payment,320.00,Rent partial payment
TXN-00079,ACCT-1019,2023-02-25 09:15:12,Deposit,2650.00,Payroll deposit
TXN-00080,ACCT-1021,2023-02-27 11:30:39,Deposit,4200.00,Payroll deposit
TXN-00081,ACCT-1021,2023-02-28 13:45:06,Payment,1800.00,Rent payment
TXN-00082,ACCT-1023,2023-02-26 10:00:33,Deposit,2450.00,Payroll deposit
TXN-00083,ACCT-1025,2023-02-26 12:15:01,Deposit,2850.00,Payroll deposit
TXN-00084,ACCT-1027,2023-02-28 09:30:28,Deposit,3050.00,Payroll deposit
TXN-00085,ACCT-1028,2023-02-27 11:45:55,Deposit,2700.00,Payroll deposit
TXN-00086,ACCT-1030,2023-02-28 08:00:22,Deposit,2950.00,Payroll deposit
TXN-00087,ACCT-1001,2023-02-20 10:30:49,Withdrawal,350.00,ATM withdrawal
TXN-00088,ACCT-1003,2023-02-21 14:45:17,Payment,210.00,Hydro bill payment
TXN-00089,ACCT-1005,2023-02-22 09:00:44,Purchase,167.80,Home goods purchase
TXN-00090,ACCT-1007,2023-02-23 11:15:11,Withdrawal,200.00,ATM withdrawal
TXN-00091,ACCT-1009,2023-02-24 13:30:38,Purchase,55.00,Coffee shop purchase
TXN-00092,ACCT-1011,2023-02-25 15:45:06,Payment,95.00,Streaming services
TXN-00093,ACCT-1013,2023-02-26 10:00:33,Withdrawal,150.00,ATM withdrawal
TXN-00094,ACCT-1019,2023-02-27 12:15:00,Purchase,320.50,Sporting goods
TXN-00095,ACCT-1021,2023-02-26 14:30:27,Deposit,500.00,Bonus deposit
TXN-00096,ACCT-1023,2023-02-27 09:45:55,Payment,112.75,Department store return
TXN-00097,ACCT-1025,2023-02-27 11:00:22,Withdrawal,200.00,ATM withdrawal
TXN-00098,ACCT-1027,2023-02-27 13:15:49,Payment,175.00,Cable bill payment
TXN-00099,ACCT-1030,2023-02-27 15:30:17,Purchase,43.99,Gas station purchase
TXN-00100,ACCT-1031,2023-02-28 09:45:44,Deposit,3400.00,Payroll deposit
